rel,way,tags,region
3388568,86301078,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Sint-Lenaarts', 'old_ref:INS': '11043', 'ref:INS': '11009B', 'type': 'boundary', 'wikidata': 'Q2340437', 'wikipedia': 'nl:Sint-Lenaarts'}",Sint-Lenaarts
3388568,252621942,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Sint-Lenaarts', 'old_ref:INS': '11043', 'ref:INS': '11009B', 'type': 'boundary', 'wikidata': 'Q2340437', 'wikipedia': 'nl:Sint-Lenaarts'}",Sint-Lenaarts
3389799,252732480,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Haaltert', 'type': 'boundary'}",Haaltert
3389799,252732478,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Haaltert', 'type': 'boundary'}",Haaltert
3389799,85033138,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Haaltert', 'type': 'boundary'}",Haaltert
3389799,85033143,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Haaltert', 'type': 'boundary'}",Haaltert
3389799,252607772,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Haaltert', 'type': 'boundary'}",Haaltert
3389799,677013805,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Haaltert', 'type': 'boundary'}",Haaltert
3389799,577326275,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Haaltert', 'type': 'boundary'}",Haaltert
3389799,584992927,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Haaltert', 'type': 'boundary'}",Haaltert
3389799,808432422,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Haaltert', 'type': 'boundary'}",Haaltert
3389799,808432424,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Haaltert', 'type': 'boundary'}",Haaltert
3389799,550450612,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Haaltert', 'type': 'boundary'}",Haaltert
3389799,252732483,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Haaltert', 'type': 'boundary'}",Haaltert
3389799,252732475,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Haaltert', 'type': 'boundary'}",Haaltert
3390508,252801050,"{'admin_level': '9', 'boundary': 'administrative', 'loc_name': 'Denjerlië;Lië', 'name': 'Denderleeuw', 'type': 'boundary'}",Denderleeuw
3390508,252801051,"{'admin_level': '9', 'boundary': 'administrative', 'loc_name': 'Denjerlië;Lië', 'name': 'Denderleeuw', 'type': 'boundary'}",Denderleeuw
3390508,85220205,"{'admin_level': '9', 'boundary': 'administrative', 'loc_name': 'Denjerlië;Lië', 'name': 'Denderleeuw', 'type': 'boundary'}",Denderleeuw
3390508,64309406,"{'admin_level': '9', 'boundary': 'administrative', 'loc_name': 'Denjerlië;Lië', 'name': 'Denderleeuw', 'type': 'boundary'}",Denderleeuw
3390508,67672802,"{'admin_level': '9', 'boundary': 'administrative', 'loc_name': 'Denjerlië;Lië', 'name': 'Denderleeuw', 'type': 'boundary'}",Denderleeuw
3390508,805344833,"{'admin_level': '9', 'boundary': 'administrative', 'loc_name': 'Denjerlië;Lië', 'name': 'Denderleeuw', 'type': 'boundary'}",Denderleeuw
